year,last_spring_frost_day,first_autumn_frost_day
1848,122,286
1849,122,286
1850,122,286
1851,122,286
1852,122,286
1853,122,286
1854,122,286
1855,122,286
1856,122,286
1857,122,286
1858,122,286
1859,122,286
1860,122,286
1861,122,286
1862,122,286
1863,122,286
1864,122,286
1865,122,286
1866,122,286
1867,122,286
1868,122,286
1869,122,286
1870,122,286
1871,122,286
1872,122,286
1873,122,286
1874,122,286
1875,122,286
1876,122,286
1877,122,286
1878,122,286
1879,122,286
1880,122,286
1881,122,286
1882,122,286
1883,122,286
