year,month,T06_C,T14_C,T22_C
1848,1,-3.9,-0.5,-2.8
1848,2,-2.5,2.5,-0.9
1848,3,0.2,7.1,2.3
1848,4,5.0,14.1,7.7
1848,5,9.9,19.1,12.2
1848,6,14.4,23.5,16.2
1848,7,15.3,25.1,17.7
1848,8,14.9,24.0,17.3
1848,9,10.6,20.2,13.2
1848,10,6.8,14.5,8.8
1848,11,1.7,5.4,2.7
1848,12,-2.4,0.5,-1.9
1849,1,-3.9,-0.5,-2.8
1849,2,-2.5,2.5,-0.9
1849,3,0.2,7.1,2.3
1849,4,5.0,14.1,7.7
1849,5,9.9,19.1,12.2
1849,6,14.4,23.5,16.2
1849,7,15.3,25.1,17.7
1849,8,14.9,24.0,17.3
1849,9,10.6,20.2,13.2
1849,10,6.8,14.5,8.8
1849,11,1.7,5.4,2.7
1849,12,-2.4,0.5,-1.9
1850,1,-3.9,-0.5,-2.8
1850,2,-2.5,2.5,-0.9
1850,3,0.2,7.1,2.3
1850,4,5.0,14.1,7.7
1850,5,9.9,19.1,12.2
1850,6,14.4,23.5,16.2
1850,7,15.3,25.1,17.7
1850,8,14.9,24.0,17.3
1850,9,10.6,20.2,13.2
1850,10,6.8,14.5,8.8
1850,11,1.7,5.4,2.7
1850,12,-2.4,0.5,-1.9
1851,1,-3.9,-0.5,-2.8
1851,2,-2.5,2.5,-0.9
1851,3,0.2,7.1,2.3
1851,4,5.0,14.1,7.7
1851,5,9.9,19.1,12.2
1851,6,14.4,23.5,16.2
1851,7,15.3,25.1,17.7
1851,8,14.9,24.0,17.3
1851,9,10.6,20.2,13.2
1851,10,6.8,14.5,8.8
1851,11,1.7,5.4,2.7
1851,12,-2.4,0.5,-1.9
1852,1,-3.9,-0.5,-2.8
1852,2,-2.5,2.5,-0.9
1852,3,0.2,7.1,2.3
1852,4,5.0,14.1,7.7
1852,5,9.9,19.1,12.2
1852,6,14.4,23.5,16.2
1852,7,15.3,25.1,17.7
1852,8,14.9,24.0,17.3
1852,9,10.6,20.2,13.2
1852,10,6.8,14.5,8.8
1852,11,1.7,5.4,2.7
1852,12,-2.4,0.5,-1.9
1853,1,-3.9,-0.5,-2.8
1853,2,-2.5,2.5,-0.9
1853,3,0.2,7.1,2.3
1853,4,5.0,14.1,7.7
1853,5,9.9,19.1,12.2
1853,6,14.4,23.5,16.2
1853,7,15.3,25.1,17.7
1853,8,14.9,24.0,17.3
1853,9,10.6,20.2,13.2
1853,10,6.8,14.5,8.8
